"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",24512,"2019-09-13",717,2.99
"Manzana a granel",24512,"2020-01-24",648,2.99
"Manzana a granel",24512,"2019-11-12",766,2.99
"Manzana a granel",24512,"2019-07-22",562,2.99
"Manzana a granel",24512,"2020-03-13",1350,2.99
"Manzana a granel",24512,"2018-11-10",738,2.99
"Manzana a granel",24512,"2017-10-19",786.781,2.99
"Manzana a granel",24512,"2020-08-07",377,2.99
"Manzana a granel",24512,"2019-10-09",791,2.99
"Manzana a granel",24512,"2020-06-17",424,2.99
"Manzana a granel",24512,"2019-12-21",759,2.99
"Manzana a granel",24512,"2019-09-16",881.45,2.99
"Manzana a granel",24512,"2018-11-02",691,2.99
"Manzana a granel",24512,"2018-12-31",903,2.99
"Manzana a granel",24512,"2019-12-17",812,2.99
"Manzana a granel",24512,"2018-04-21",1135.899,2.99
"Manzana a granel",24512,"2020-01-23",737,2.99
"Manzana a granel",24512,"2017-11-03",691,2.99
"Manzana a granel",24512,"2020-04-28",665,2.99
"Manzana a granel",24512,"2018-08-31",529,2.99
"Manzana a granel",24512,"2019-06-06",482,2.99
"Manzana a granel",24512,"2019-10-31",949,2.99
"Manzana a granel",24512,"2017-12-05",1012,2.99
"Manzana a granel",24512,"2019-01-10",624,2.99
"Manzana a granel",24512,"2020-06-24",396,2.99
"Manzana a granel",24512,"2019-11-13",761,2.99
"Manzana a granel",24512,"2018-07-18",702,2.99
"Manzana a granel",24512,"2020-05-15",781,2.99
"Manzana a granel",24512,"2019-05-27",612,2.99
"Manzana a granel",24512,"2018-09-11",632,2.99
"Manzana a granel",24512,"2018-03-05",777,2.99
"Manzana a granel",24512,"2018-02-16",683.023,2.99
"Manzana a granel",24512,"2018-05-08",747,2.99
"Manzana a granel",24512,"2020-03-18",807,2.99
"Manzana a granel",24512,"2019-01-09",611,2.99
"Manzana a granel",24512,"2018-06-22",584,2.99
"Manzana a granel",24512,"2018-11-07",661,2.99
"Manzana a granel",24512,"2020-05-13",537,2.99
"Manzana a granel",24512,"2018-06-29",642,2.99
"Manzana a granel",24512,"2017-09-05",698,2.99
"Manzana a granel",24512,"2020-04-22",896,2.99
"Manzana a granel",24512,"2018-08-10",547,2.99
"Manzana a granel",24512,"2018-10-15",811,2.99
"Manzana a granel",24512,"2019-03-04",563,2.99
"Manzana a granel",24512,"2017-12-26",660,2.99
"Manzana a granel",24512,"2018-03-02",687,2.99
"Manzana a granel",24512,"2020-06-10",400,2.99
"Manzana a granel",24512,"2019-12-22",243,2.99
"Manzana a granel",24512,"2019-10-03",763,2.99
"Manzana a granel",24512,"2019-08-17",608,2.99
"Manzana a granel",24512,"2020-03-23",1094,2.99
"Manzana a granel",24512,"2018-03-27",782,2.99
"Manzana a granel",24512,"2018-04-27",658,2.99
"Manzana a granel",24512,"2020-08-24",459,2.99
"Manzana a granel",24512,"2020-07-27",452,2.99
"Manzana a granel",24512,"2018-06-13",626,2.99
"Manzana a granel",24512,"2018-09-08",899,2.99
"Manzana a granel",24512,"2020-08-28",340,2.99
"Manzana a granel",24512,"2018-02-02",651,2.99
"Manzana a granel",24512,"2019-04-04",507.824,2.99
"Manzana a granel",24512,"2018-01-20",1054,2.99
"Manzana a granel",24512,"2019-08-16",517,2.99
"Manzana a granel",24512,"2019-05-11",601,2.99
"Manzana a granel",24512,"2017-11-30",797,2.99
"Manzana a granel",24512,"2017-10-14",776,2.99
"Manzana a granel",24512,"2019-03-02",666,2.99
"Manzana a granel",24512,"2018-01-26",695,2.99
"Manzana a granel",24512,"2017-10-30",774,2.99
"Manzana a granel",24512,"2018-08-13",761,2.99
"Manzana a granel",24512,"2020-08-06",285,2.99
"Manzana a granel",24512,"2017-09-01",617.029,2.99
"Manzana a granel",24512,"2020-06-25",371,2.99
"Manzana a granel",24512,"2019-11-15",662,2.99
"Manzana a granel",24512,"2018-03-22",632,2.99
"Manzana a granel",24512,"2020-04-01",672,2.99
"Manzana a granel",24512,"2019-05-23",496,2.99
"Manzana a granel",24512,"2018-12-28",582,2.99
"Manzana a granel",24512,"2019-02-21",596.971,2.99
"Manzana a granel",24512,"2019-11-23",1012,2.99
"Manzana a granel",24512,"2018-08-06",768.058,2.99
"Manzana a granel",24512,"2018-10-16",623,2.99
"Manzana a granel",24512,"2020-09-19",504,2.99
"Manzana a granel",24512,"2020-03-12",833,2.99
"Manzana a granel",24512,"2020-04-02",805,2.99
"Manzana a granel",24512,"2019-06-28",541,2.99
"Manzana a granel",24512,"2017-09-02",777.029,2.99
"Manzana a granel",24512,"2019-12-16",899,2.99
"Manzana a granel",24512,"2018-02-27",725,2.99
"Manzana a granel",24512,"2020-01-18",989,2.99
"Manzana a granel",24512,"2019-07-15",515,2.99
"Manzana a granel",24512,"2018-11-22",642,2.99
"Manzana a granel",24512,"2020-07-02",334,2.99
"Manzana a granel",24512,"2020-06-08",446,2.99
"Manzana a granel",24512,"2018-10-01",710,2.99
"Manzana a granel",24512,"2019-06-24",587,2.99
"Manzana a granel",24512,"2020-05-20",429,2.99
"Manzana a granel",24512,"2018-10-20",812.186,2.99
"Manzana a granel",24512,"2019-02-06",565,2.99
"Manzana a granel",24512,"2017-08-31",670.058,2.99
"Manzana a granel",24512,"2017-10-18",722,2.99
"Manzana a granel",24512,"2018-09-28",625,2.99
"Manzana a granel",24512,"2018-01-22",920,2.99
"Manzana a granel",24512,"2019-01-22",564,2.99
"Manzana a granel",24512,"2020-04-04",904,2.99
"Manzana a granel",24512,"2018-02-06",675,2.99
"Manzana a granel",24512,"2018-12-22",640,2.99
"Manzana a granel",24512,"2018-11-17",827,2.99
"Manzana a granel",24512,"2018-08-02",611.192,2.99
"Manzana a granel",24512,"2019-06-05",525,2.99
"Manzana a granel",24512,"2020-04-24",938,2.99
"Manzana a granel",24512,"2020-09-16",368,2.99
"Manzana a granel",24512,"2019-09-04",795,2.99
"Manzana a granel",24512,"2019-05-10",466,2.99
"Manzana a granel",24512,"2018-02-14",734,2.99
"Manzana a granel",24512,"2018-02-10",816,2.99
"Manzana a granel",24512,"2020-01-21",780,2.99
"Manzana a granel",24512,"2020-01-31",735,2.99
"Manzana a granel",24512,"2019-06-08",819,2.99
"Manzana a granel",24512,"2020-06-29",362,2.99
"Manzana a granel",24512,"2018-11-24",883,2.99
"Manzana a granel",24512,"2018-04-25",751,2.99
"Manzana a granel",24512,"2019-12-29",213,2.99
"Manzana a granel",24512,"2017-08-28",991.572,2.99
"Manzana a granel",24512,"2019-11-08",781,2.99
"Manzana a granel",24512,"2019-04-24",681,2.99
"Manzana a granel",24512,"2019-01-08",761,2.99
"Manzana a granel",24512,"2018-04-19",724,2.99
"Manzana a granel",24512,"2019-06-03",545,2.99
