"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",24512,"2019-09-10",760,2.99
"Manzana a granel",24512,"2019-07-23",457,2.99
"Manzana a granel",14526,"2018-01-15",747,2.99
"Manzana a granel",14526,"2018-04-12",714,2.99
"Manzana a granel",14526,"2018-05-03",760,2.99
"Manzana a granel",14526,"2019-09-14",899.909,2.99
"Manzana a granel",24512,"2020-01-25",847,2.99
"Manzana a granel",14526,"2020-03-05",666,2.99
"Manzana a granel",14526,"2019-10-03",667,2.99
"Manzana a granel",14526,"2019-05-10",765,2.99
"Manzana a granel",14526,"2017-10-24",937,2.99
"Manzana a granel",14526,"2019-07-05",790,2.99
"Manzana a granel",14526,"2020-06-03",515,2.99
"Manzana a granel",24512,"2020-06-13",593,2.99
"Manzana a granel",24512,"2017-08-30",651,2.99
"Manzana a granel",14526,"2019-10-25",761,2.99
"Manzana a granel",24512,"2019-06-19",487,2.99
"Manzana a granel",24512,"2020-02-13",803,2.99
"Manzana a granel",14526,"2019-09-30",784,2.99
"Manzana a granel",24512,"2018-02-01",743,2.99
"Manzana a granel",14526,"2017-10-19",811.324,2.99
"Manzana a granel",14526,"2018-12-29",695,2.99
"Manzana a granel",14526,"2017-10-03",882,2.99
"Manzana a granel",14526,"2018-01-22",799,2.99
"Manzana a granel",14526,"2019-08-17",656,2.99
"Manzana a granel",24512,"2019-09-12",755,2.99
"Manzana a granel",24512,"2018-04-11",802,2.99
"Manzana a granel",14526,"2020-08-10",577,2.99
"Manzana a granel",24512,"2018-01-17",740,2.99
"Manzana a granel",14526,"2019-11-23",668,2.99
"Manzana a granel",24512,"2017-12-30",908,2.99
"Manzana a granel",14526,"2017-11-27",728,2.99
"Manzana a granel",14526,"2019-12-20",667,2.99
"Manzana a granel",14526,"2019-04-10",909,2.99
"Manzana a granel",14526,"2019-01-10",784,2.99
"Manzana a granel",14526,"2018-10-26",726,2.99
"Manzana a granel",14526,"2019-09-13",847.727,2.99
"Manzana a granel",24512,"2018-06-19",615,2.99
"Manzana a granel",24512,"2020-05-12",618,2.99
"Manzana a granel",14526,"2018-10-02",745,2.99
"Manzana a granel",14526,"2020-03-18",813.58,2.99
"Manzana a granel",14526,"2020-02-03",788,2.99
"Manzana a granel",24512,"2018-10-31",851,2.99
"Manzana a granel",24512,"2019-09-27",841,2.99
"Manzana a granel",14526,"2019-12-04",772.898,2.99
"Manzana a granel",24512,"2020-01-16",846,2.99
"Manzana a granel",14526,"2018-05-23",763,2.99
"Manzana a granel",24512,"2017-09-07",777,2.99
